note_id,part,start,end,global_start,global_end,duration,pitch_midi,pitch_name,velocity_realized,velocity,measure,beat,beatStrength,is_circulatio_dux,is_circulatio_comes,is_saltus,is_passus,is_stretto,is_melodic_dissonance
basso_430.0_432.0_54,Basso.,6.0,8.0,430.0,432.0,2.0,54.0,G3,0.992124,126.0,54,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
basso_432.0_435.0_55,Basso.,0.0,3.0,432.0,435.0,3.0,52.0,E#3,0.942124,120.0,55,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
basso_435.0_436.0_55,Basso.,3.0,4.0,435.0,436.0,1.0,53.0,F3,0.992124,126.0,55,2.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
basso_436.0_437.0_55,Basso.,4.0,5.0,436.0,437.0,1.0,55.0,G3,0.992124,126.0,55,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
basso_437.0_438.0_55,Basso.,5.0,6.0,437.0,438.0,1.0,53.0,F3,0.992124,126.0,55,3.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
basso_438.0_439.0_55,Basso.,6.0,7.0,438.0,439.0,1.0,55.0,G3,0.992124,126.0,55,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
basso_439.0_440.0_55,Basso.,7.0,8.0,439.0,440.0,1.0,56.0,A-3,0.992124,126.0,55,4.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
basso_440.0_442.0_56,Basso.,0.0,2.0,440.0,442.0,2.0,58.0,B-3,0.992124,126.0,56,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
basso_442.0_443.0_56,Basso.,2.0,3.0,442.0,443.0,1.0,56.0,A-3,0.992124,126.0,56,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
basso_443.0_444.0_56,Basso.,3.0,4.0,443.0,444.0,1.0,55.0,G3,0.992124,126.0,56,2.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
basso_444.0_446.0_56,Basso.,4.0,6.0,444.0,446.0,2.0,56.0,A-3,0.992124,126.0,56,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
basso_446.0_448.0_56,Basso.,6.0,8.0,446.0,448.0,2.0,55.0,G3,0.992124,126.0,56,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
basso_448.0_453.0_57,Basso.,0.0,5.0,448.0,453.0,5.0,53.0,F3,0.992124,126.0,57,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
basso_453.0_454.0_57,Basso.,5.0,6.0,453.0,454.0,1.0,53.0,F3,0.992124,126.0,57,3.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
basso_454.0_455.0_57,Basso.,6.0,7.0,454.0,455.0,1.0,55.0,G3,0.992124,126.0,57,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
basso_455.0_456.0_57,Basso.,7.0,8.0,455.0,456.0,1.0,57.0,A#3,0.992124,126.0,57,4.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
basso_456.0_457.0_58,Basso.,0.0,1.0,456.0,457.0,1.0,58.0,B-3,0.992124,126.0,58,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
basso_457.0_458.0_58,Basso.,1.0,2.0,457.0,458.0,1.0,56.0,A-3,0.992124,126.0,58,1.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
basso_458.0_459.0_58,Basso.,2.0,3.0,458.0,459.0,1.0,55.0,G3,0.992124,126.0,58,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
basso_459.0_460.0_58,Basso.,3.0,4.0,459.0,460.0,1.0,53.0,F3,0.992124,126.0,58,2.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
basso_460.0_462.0_58,Basso.,4.0,6.0,460.0,462.0,2.0,52.0,E#3,0.992124,126.0,58,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
basso_462.0_463.0_58,Basso.,6.0,7.0,462.0,463.0,1.0,53.0,F3,0.992124,126.0,58,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
basso_463.0_464.0_58,Basso.,7.0,8.0,463.0,464.0,1.0,46.0,B-2,0.992124,126.0,58,4.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
basso_464.0_466.0_59,Basso.,0.0,2.0,464.0,466.0,2.0,48.0,C3,0.942124,120.0,59,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
basso_466.0_468.0_59,Basso.,2.0,4.0,466.0,468.0,2.0,48.0,C3,0.992124,126.0,59,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
basso_468.0_472.0_59,Basso.,4.0,8.0,468.0,472.0,4.0,41.0,F2,0.992124,126.0,59,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
